s,tau,mu1,mu2,gamma1,gamma2
0.02413423206402466,0.9308080274473755,-1.396533724285586,-0.5595838467296682,-0.2679675127776783,0.17904230082828143
0.017084628676225344,0.8155087338956337,-1.4529418894314732,-0.6447558023864186,-0.2528023125923002,0.350324107027311
0.024337995225087058,0.8174996733325832,-1.57167850338284,-0.637198706851233,-0.26278193449204823,0.30265168905758644
0.024903698269853405,0.8296113724337455,-1.4943647623109888,-0.6122995406720435,-0.173872785438688,0.360369045664998
0.021800147402844555,0.8301635331617567,-1.4845239169529652,-0.7762190758979668,-0.21742700006147256,0.40280232597462917
0.014080941626916912,0.8156553826057554,-1.4675218014572788,-0.6991394780323914,-0.18917144923560464,0.25044257445338225
0.021774681538047052,0.9107060263400484,-1.4131211326045705,-0.5370098642845471,-0.27288165096596395,0.26588616053313396
0.02311571814172397,0.9116844017248196,-1.4474775740440782,-0.6737323479062041,-0.2061318226021921,0.37903587404151595
0.0223403390562564,0.920322335603017,-1.4108832155152309,-0.6693667163771573,-0.25459747666149185,0.3279624471541731
0.018898651080359756,0.9073261234673747,-1.4677614383249868,-0.6537074190921961,-0.3424761581577047,0.4039136675439378
0.016282788966308113,0.8972640525748203,-1.3782894836124484,-0.693337120045579,-0.23980486147508517,0.33023194133849443
0.016777100126287563,0.93364622541187,-1.4535540737751451,-0.6622200281669268,-0.2756223908654968,0.3868162343339584
0.017363059002987097,0.8529135555683055,-1.4481865710011745,-0.6834297611424535,-0.24755078021076873,0.2882957553137762
0.01913124456138011,0.8616273665085414,-1.4831821507442222,-0.6586032381695026,-0.27405214139503187,0.44284605124439264
0.025829427929422517,0.8620134594310832,-1.3372526519924848,-0.7040832851347258,-0.319119182851044,0.2992253438917045
0.017362692465389074,0.9779557211789899,-1.345492591318258,-0.5773861185638419,-0.30121895887971867,0.3782030415433757
0.034360608155893646,0.9436584965760633,-1.340455510573241,-0.6393943584263528,-0.36672667766890304,0.3115192604773178
0.021367695388933357,0.9208096190426402,-1.4191250650782739,-0.5866553763622893,-0.2870836048999805,0.23176701236771455
0.02242015328756942,0.9000954786115586,-1.4213117514741203,-0.6222081375464222,-0.333495255041221,0.3561778941701056
